date_mesure,B,C,A,D,E
2014-08-21,0.9901668912901701,-0.39115961267827604,-0.5214737082197699,0.002481008023423256,0.9823067064768393
2014-08-28,0.9590767153402947,-0.5367141907002616,-0.5588894917678574,-0.048847142728871584,0.9478958645110477
2014-09-04,0.923411121309403,-0.7669845725964997,-0.6158712509936177,-0.10126733461515147,0.9415285441135326
2014-09-11,0.8616175617959345,-0.8953113039694078,-0.6813187745609872,-0.17546558934764672,0.9652984333791599
2014-09-18,0.8137226620581215,-0.8748212200833474,-0.733131748249966,-0.2562599516647357,0.9953708649855868
2014-09-25,0.74194298853176,-0.993599100625268,-0.8025663435159502,-0.3705388816851079,0.7707533570165944
2014-10-02,0.7605042867193909,-0.9960266151786272,-0.8322307844549726,-0.3819802644666208,0.48069330842636904
2014-10-09,0.8642352004272785,-0.10580110708158263,-0.5953650689073262,-0.3473967241727771,0.5445220250598446
2014-10-16,0.8578668322513213,0.21190764111412017,-0.5205354191224034,-0.358086712134742,0.5842316933754593
2014-10-23,0.7488454750139245,-0.12016307267963777,-0.5694952760961771,-0.39335059459875515,0.4405878515107562
2014-10-30,0.7466444027534369,0.01526582590918333,-0.5077137802598443,-0.3246715391257352,-0.13809989088515273
2014-11-06,0.778818191607078,0.7957208908225841,-0.12545684283864472,-0.19036464142318815,-0.5099881241186959
2014-11-13,0.7782454517404074,0.9150760601394334,0.2080973625993175,-0.07085919652200057,-0.5002322422682357
2014-11-20,0.7424650838252906,0.5999480468221868,0.29102749859760035,-0.03636025752413646,-0.43261917558181545
2014-11-27,0.7738504161253041,0.2346884512241928,0.23532698379925532,0.08994478837966663,-0.6193883527014173
2014-12-04,0.676526052821786,-0.055940466359345076,0.15829544590677797,0.04892404737369848,-1.039570847538132
2014-12-11,0.6889927283648708,0.11257193434786619,0.2159562628858931,0.11277997638652211,-1.102813114836828
2014-12-18,0.7000995649389951,1.1769267513959583,0.750104481211427,0.1248971974667279,-0.8153800243679298
2014-12-25,0.7920709455553456,0.8672671267421524,0.8026875915824179,0.24117516223145347,-0.7605772875054158
2015-01-01,0.8161855804334704,0.9118869517244199,0.7098602993067078,0.2655449676273764,-0.8529745265324785
2015-01-08,0.8899336073027369,0.9950287500424846,0.6968900610180715,0.350731197006866,-0.7497420006351049
2015-01-15,0.9566827549944402,1.3869328543891575,0.9640133524383143,0.5481091707299328,-0.8664273533815197
2015-01-22,0.9568582613494996,0.9109477498009414,0.8939527354893075,0.5214768372762626,-0.9988796290639762
2015-01-29,1.1587985352373134,1.3770811889986803,1.2388648869576167,0.6607607129223618,-1.0974554817485465
2015-02-05,1.0182154738278995,0.9363858966797161,1.0751883615686537,0.5906457863136991,-1.2397664337966736
2015-02-12,1.0467507948943913,0.6500093966534332,0.9113074956826696,0.6803270584973508,-1.2582100473380209
2015-02-19,1.0955805583078266,0.6748997764275717,0.879612348474227,0.7839869596205138,-1.1983133853798726
2015-02-26,1.1083764027485528,1.0125524868347329,0.9992915832722115,0.8382739381168466,-0.9828962061253546
2015-03-05,1.0599556905006908,0.9054136845644327,1.0161631423571287,0.9097544341446067,-0.8694057684379726
2015-03-12,1.0883291259714327,0.4034545460703216,0.8932726415723762,1.0100479684813009,-0.9135133416276482
2015-03-19,1.0874024222683256,0.08605636901893121,0.7795836351642751,1.0178935469726964,-1.0522843541650808
2015-03-26,1.065003354061281,0.32844260602971037,0.6981634629217945,0.9707208589386834,-1.102726858723913
2015-04-02,1.0681035782418178,0.7184245783031241,0.6597272040167613,0.9450182437589392,-0.7399100858676503
2015-04-09,1.0417002825404502,0.34229936599149285,0.589463984169452,0.9033133972772411,-0.4999836971254116
2015-04-16,1.0199136969862659,0.050867141000373595,0.5016034979202232,0.8658111981022507,-0.5244010230700789
2015-04-23,1.0016556309962699,-0.03544392060208368,0.4233425504373222,0.8252206558077348,-0.387286102856562
2015-04-30,1.1416761620331497,1.152836074741275,0.6503153347977043,0.9365795294900258,-0.03600098098030513
2015-05-07,1.102473092761721,0.9546314174206307,0.7436940214062739,0.9597835850775387,0.05254862276666372
